1020.1,448.71
1382.8,586.09
1184.3,429.6
946.33,495.71
1914.6,297.74
806.52,450.37
1319.7,509.69
-1,-1
1412.5,489.57
908.02,519.56
1234.7,651.05
1342.4,403.7
-1,-1
-1,-1
-1,-1
-1,-1
1595.1,760.78
-1,-1
1279.2,592.84
993.11,441.57
1271.5,649.6
-1,-1
-1,-1
697.91,238.81
-1,-1
-1,-1
1074.1,426.65
1012.8,498.43
851.44,281.71
697.02,236.85
676.78,226.66
982.4,456.33
1047.5,454.63
1422.5,835.98
1557.7,734.72
-1,-1
623.24,237.15
1367.1,561.89
-1,-1
-1,-1
1595.3,760.78
1513.7,665.2
-1,-1
1049.8,583.18
1153,469.86
911.5,520.28
-1,-1
1557.7,734.72
1088.7,469.23
1742.4,829.59
894.97,507.66
-1,-1
-1,-1
-1,-1
-1,-1
1116.8,446.46
1873.5,747.7
977.03,442.38
-1,-1
2064.7,923.7
1402.1,537.38
972.33,445.12
1434.5,529.4
1786.4,725.98
1318.6,506.45
-1,-1
1263,550.87
-1,-1
1819.8,728.03
-1,-1
1011.4,580.68
1336.6,698.01
1873.7,747.7
1018.9,580.99
-1,-1
1192.5,443.82
-1,-1
1072.8,431.24
-1,-1
1377.7,517.88
1745.5,710.2
1168.6,565.46
-1,-1
-1,-1
-1,-1
1219.9,41.796
1364.9,571.55
1042,623.32
1794.5,789.41
-1,-1
-1,-1
964.49,476.56
993.26,440.8
1029.9,560.13
1740.9,680.34
1170,456.16
-1,-1
1019.5,481.43
1658,638.84
948.48,498.28
1012.6,582.02
1084.7,468.32
1236.7,654.37
-1,-1
1268.9,484.22
1066.2,380.34
-1,-1
1359.2,416.27
1181.3,652.67
1415.7,526.22
1320.3,145.46
-1,-1
-1,-1
1873.4,747.7
-1,-1
1024.9,573.64
1152.8,497.05
1009.9,437.34
-1,-1
-1,-1
1042.3,421.63
-1,-1
1143.9,501.01
-1,-1
1398.7,534.3
-1,-1
1056.9,432.25
-1,-1
-1,-1
1736,688.18
1035.4,419.54
-1,-1
1314.2,626.66
1795,714.43
1243.6,380.26
1664.4,629.64
-1,-1
1311.6,508.73
-1,-1
1078.3,426.36
1229.4,356.58
980.24,442.38
-1,-1
1019.1,413.99
-1,-1
1073.1,371.62
1500.5,700.23
1182.6,462.05
1418.8,600.18
1031.1,451.71
-1,-1
1057.9,592.76
1153.3,497.1
-1,-1
-1,-1
1022.1,433.97
1330.2,510.5
1146.7,459.28
1119.4,645.02
1148.5,504.94
1099.5,474.01
1036.6,422.8
1198.8,465.78
935.59,393.49
626.63,238.02
1031.1,451.71
1172.3,462.3
1490.6,645.28
1113.8,552.45
-1,-1
1740.9,680.34
1183.2,428.53
-1,-1
1396.4,586.09
-1,-1
1631,632.75
1526.6,693.89
1627.7,645.27
1472.1,860.97
-1,-1
1414.2,370.63
1084.1,617.22
979.06,445.12
-1,-1
1348.5,187.67
676.78,226.66
1035.7,320.54
966.08,397.93
-1,-1
1527.1,407.82
999.52,534.41
-1,-1
1179.6,561.64
-1,-1
926.88,526.97
969.84,451.54
1195.4,430.52
-1,-1
596.25,243.7
1500.6,700.23
1159.5,555.69
-1,-1
1069.5,429.81
1028.3,421.97
-1,-1
996.2,424.37
851.44,281.71
1017.7,594.68
1024.8,617.48
904.94,511.92
1175.2,449.91
1457.2,573.05
-1,-1
1316.5,672.68
1275.9,608.04
1474.5,598.38
1365.3,453.66
1070.4,330.76
-1,-1
1105.9,413.37
1050.9,426.94
809.14,373.35
1024.5,573.75
-1,-1
1393.5,539.18
1032.3,349.17
-1,-1
1805.3,688.18
1518.2,619.85
1822.4,723.94
1488.9,689.23
1049.5,583.18
1450.5,532.59
-1,-1
1643,399.06
1172.3,488.37
1149.7,495.89
-1,-1
1820,728.03
1192.7,462.55
-1,-1
1091.1,512.49
1010.2,554.82
-1,-1
1413.2,598.36
2022.2,1048.1
1044.8,421.75
1155.5,557.9
-1,-1
-1,-1
1320.7,689.05
1173.8,547.83
1376.1,566.82
1434.9,566.3
-1,-1
1127.3,543.23
1318.4,565.03
1073.8,433.16
-1,-1
1333.4,667.99
938.94,393.39
1653.8,398.98
1005,431.04
2047.3,1048.1
1416.4,635.97
1190.7,462.55
-1,-1
-1,-1
1406.7,585.83
1209.2,556.66
1052.4,452.25
-1,-1
-1,-1
1334.8,631.88
1681.8,810.1
-1,-1
1347,403.7
1745.5,710.2
1176.1,642.34
795.22,444.55
1059.4,607.2
1163.6,557.05
976.97,442.38
1723.5,576.55
1168.6,456.16
-1,-1
1532.4,700.23
1254,599.23
-1,-1
1179.2,649.62
-1,-1
1022.2,414.74
1095.8,515.49
1404.6,522.46
1176.4,484.22
-1,-1
1308.3,504.18
987.64,441.8
1059.4,607.2
1451.5,467.46
